time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T20:12:46.450Z,37.6538333,-118.8463333,5.57,0.34,md,9,133,0.01789,0.02,nc,nc73104396,2018-10-31T20:35:09.223Z,"12km E of Mammoth Lakes, CA",earthquake,0.9,31.61,0.058,6,reviewed,nc,nc
2018-10-31T20:03:42.600Z,37.6481667,-118.848,4.69,0.21,md,9,121,0.01402,0.04,nc,nc73104386,2018-10-31T20:57:04.664Z,"12km E of Mammoth Lakes, CA",earthquake,1.22,2.54,0.162,8,reviewed,nc,nc
2018-10-31T19:49:14.677Z,62.9377,-151.3406,117.4,1.6,ml,,,,0.34,ak,ak20307062,2018-10-31T19:54:02.509Z,"93km NW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-31T19:47:23.740Z,8.6537,-82.446,10,3.5,ml,,176,0.276,0.8,us,us2000i4xn,2018-10-31T21:52:14.680Z,"4km E of Potrerillos Abajo, Panama",earthquake,3.5,2,0.081,20,reviewed,us,us
2018-10-31T19:42:51.318Z,39.0556,-119.6755,7.9,1.3,ml,16,47.6,0.068,0.1814,nn,nn00663598,2018-10-31T20:15:27.235Z,"4km ENE of Johnson Lane, Nevada",earthquake,,1.1,0.37,10,reviewed,nn,nn
2018-10-31T19:41:07.670Z,35.0605,-118.339,-1.01,1.42,ml,20,44,0.06977,0.14,ci,ci37409842,2018-10-31T20:38:35.197Z,"13km SE of Tehachapi, CA",quarry blast,0.27,31.61,0.133,24,reviewed,ci,ci
2018-10-31T19:23:07.390Z,33.4956667,-116.7906667,5.28,0.3,ml,15,174,0.08261,0.09,ci,ci37409818,2018-10-31T20:43:24.000Z,"9km NE of Aguanga, CA",earthquake,0.24,0.71,0.068,5,reviewed,ci,ci
2018-10-31T19:10:35.490Z,36.047,-117.7183333,2.26,0.79,ml,13,72,0.04381,0.08,ci,ci37409810,2018-10-31T19:25:16.358Z,"21km E of Coso Junction, CA",earthquake,0.15,0.21,0.175,4,reviewed,ci,ci
2018-10-31T19:03:49.790Z,46.0001667,-112.4741667,-2,1.5,ml,7,112,0.059,0.1,mb,mb80317424,2018-10-31T19:34:47.540Z,"4km E of Butte, Montana",quarry blast,0.63,31.61,0.157,6,reviewed,mb,mb
2018-10-31T19:02:37.670Z,35.2918333,-118.5416667,7.62,1.04,ml,12,91,0.09888,0.1,ci,ci37409802,2018-10-31T20:27:10.835Z,"20km NNW of Tehachapi, CA",earthquake,0.25,0.63,0.173,10,reviewed,ci,ci
2018-10-31T18:46:30.610Z,38.8375015,-122.8373337,1.9,1.05,md,10,116,0.01821,0.03,nc,nc73104361,2018-10-31T18:48:18.397Z,"10km NW of The Geysers, CA",earthquake,0.33,0.63,,1,automatic,nc,nc
2018-10-31T18:45:13.890Z,37.6243333,-119.0318333,-0.47,1.02,md,11,73,0.006032,0.05,nc,nc73104356,2018-10-31T22:01:03.040Z,"5km WSW of Mammoth Lakes, CA",earthquake,0.19,0.26,0.432,9,reviewed,nc,nc
2018-10-31T18:42:22.482Z,69.5299,-144.2949,0.1,2,ml,,,,0.77,ak,ak20306918,2018-10-31T18:55:01.874Z,"71km SSW of Kaktovik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-10-31T18:39:23.050Z,37.8325005,-121.980835,5.49,1.68,md,8,85,0.06702,0.03,nc,nc73104346,2018-10-31T21:35:03.884Z,"2km W of Diablo, CA",earthquake,0.34,0.74,0.15,7,automatic,nc,nc
2018-10-31T18:15:24.420Z,46.7626666666667,-119.289166666667,3.51,1.62,ml,17,109,,0.13,uw,uw61501792,2018-10-31T18:42:39.490Z,"11km SW of Othello, Washington",earthquake,0.35,0.64,0.125425230018557,16,reviewed,uw,uw
2018-10-31T18:03:25.770Z,33.8691667,-116.8948333,12.99,2.66,ml,119,22,0.08613,0.15,ci,ci37409762,2018-10-31T20:35:16.317Z,"6km SSW of Banning, CA",earthquake,0.09,0.24,0.178,149,reviewed,ci,ci
2018-10-31T18:01:15.610Z,37.5348333,-118.8296667,5.14,1,md,17,180,0.0551,0.02,nc,nc73104326,2018-10-31T20:35:03.537Z,"14km WSW of Toms Place, CA",earthquake,0.58,0.88,0.127,14,reviewed,nc,nc
2018-10-31T18:00:37.070Z,37.529335,-118.8291702,5.02,1.62,md,21,205,0.06059,0.02,nc,nc73104321,2018-10-31T20:01:03.351Z,"14km WSW of Toms Place, CA",earthquake,0.83,0.85,0.3,20,automatic,nc,nc
2018-10-31T17:53:40.710Z,43.6858333,-110.886,3.12,-0.36,ml,4,172,0.113,0.22,mb,mb80317409,2018-10-31T19:40:52.780Z,"18km N of Moose Wilson Road, Wyoming",earthquake,1.51,12.3,0.17,3,reviewed,mb,mb
2018-10-31T17:51:49.360Z,19.9248333,-156.0298333,40.41,2.22,md,39,208,0.2703,0.12,hv,hv70677492,2018-10-31T19:48:08.130Z,"21km W of Waikoloa Village, Hawaii",earthquake,0.52,0.85,0.059,17,reviewed,hv,hv
2018-10-31T17:51:44.636Z,62.5989,-152.0019,0,1.9,ml,,,,1.13,ak,ak20306779,2018-10-31T18:00:11.078Z,"102km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-31T17:48:43.540Z,69.5194,-144.2923,0,2.6,ml,,,,0.81,ak,ak20306776,2018-10-31T18:00:11.328Z,"73km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-31T17:37:02.810Z,46.2835,-111.6341667,-2,1.91,ml,7,181,0.324,0.36,mb,mb80317404,2018-10-31T19:43:58.500Z,"9km WSW of Townsend, Montana",quarry blast,2.53,31.61,0.009,2,reviewed,mb,mb
2018-10-31T17:27:26.910Z,19.4016666,-155.2823334,1.02,1.79,ml,17,58,0.01507,0.14,hv,hv70677482,2018-10-31T17:33:10.230Z,"5km SW of Volcano, Hawaii",earthquake,0.25,0.38,0.22,7,automatic,hv,hv
2018-10-31T17:26:26.176Z,61.3084,-150.7518,45.8,1.9,ml,,,,0.65,ak,ak20306768,2018-10-31T17:36:56.304Z,"46km WNW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-31T17:25:23.180Z,45.1726667,-112.4275,6.14,0.74,ml,7,134,0.224,0.02,mb,mb80317399,2018-10-31T19:48:06.450Z,"17km ESE of Dillon, Montana",quarry blast,0.29,31.61,0.596,3,reviewed,mb,mb
2018-10-31T17:13:00.260Z,33.482,-116.7925,5.46,2.07,ml,23,63,0.03099,0.1,ci,ci37412181,2018-10-31T19:05:33.128Z,"8km ENE of Aguanga, CA",earthquake,0.19,0.38,0.171,25,reviewed,ci,ci
2018-10-31T17:12:55.150Z,33.479,-116.7923333,4.29,2.14,ml,69,28,0.03395,0.18,ci,ci37409722,2018-10-31T18:51:08.400Z,"8km ENE of Aguanga, CA",earthquake,0.16,0.4,0.185,30,reviewed,ci,ci
2018-10-31T17:12:12.030Z,33.4868333,-116.7866667,4.41,0.8,ml,25,104,0.02792,0.13,ci,ci37409714,2018-10-31T18:43:32.157Z,"9km NE of Aguanga, CA",earthquake,0.22,0.36,0.174,20,reviewed,ci,ci
2018-10-31T17:06:41.530Z,36.0855,-117.8761667,3.23,0.92,ml,16,163,0.03637,0.14,ci,ci37409690,2018-10-31T21:09:46.629Z,"8km NE of Coso Junction, CA",earthquake,0.3,0.47,0.131,10,reviewed,ci,ci
2018-10-31T16:59:28.880Z,34.0188333,-117.1175,8.39,1.76,ml,61,51,0.01712,0.22,ci,ci37409682,2018-10-31T18:22:44.440Z,"6km SSE of Mentone, CA",earthquake,0.26,0.64,0.114,24,reviewed,ci,ci
2018-10-31T16:47:08.320Z,19.3353333,-154.9986667,5.72,2.21,ml,47,214,0.09792,0.2,hv,hv70677447,2018-10-31T20:55:15.200Z,"16km SSW of Leilani Estates, Hawaii",earthquake,0.66,0.61,0.13,13,reviewed,hv,hv
2018-10-31T16:46:33.290Z,33.49,-116.7898333,4.94,0.48,ml,18,176,0.02398,0.09,ci,ci37409658,2018-10-31T18:30:03.807Z,"9km NE of Aguanga, CA",earthquake,0.29,0.6,0.159,8,reviewed,ci,ci
2018-10-31T16:25:50.540Z,19.3431664,-155.1116638,3.6,1.71,ml,45,138,0.04176,0.21,hv,hv70677412,2018-10-31T16:31:32.020Z,"16km SE of Volcano, Hawaii",earthquake,0.46,1.15,0.21,3,automatic,hv,hv
2018-10-31T16:17:35.610Z,37.6251667,-112.2916667,12.94,1.86,ml,10,110,0.1816,0.18,uu,uu60303097,2018-10-31T18:21:36.230Z,"25km SSE of Panguitch, Utah",earthquake,0.51,1.68,0.202,4,reviewed,uu,uu
2018-10-31T16:06:52.730Z,34.1445,-117.7643333,4.8,0.9,ml,12,133,0.08796,0.1,ci,ci37409602,2018-10-31T18:33:07.901Z,"5km N of La Verne, CA",earthquake,0.25,0.97,0.103,9,reviewed,ci,ci
2018-10-31T16:05:55.267Z,64.4814,-147.2384,1.5,1.2,ml,,,,0.67,ak,ak20306756,2018-10-31T16:12:04.627Z,"16km WSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-31T16:04:33.500Z,38.757,-122.7,1.29,1.67,md,21,68,0.009427,0.03,nc,nc73104306,2018-10-31T21:43:02.938Z,"2km SSW of Anderson Springs, CA",earthquake,0.21,0.26,0.175,3,reviewed,nc,nc
2018-10-31T15:54:54.570Z,37.334,-121.701,7.34,1.32,md,17,79,0.04719,0.04,nc,nc73104301,2018-10-31T21:54:04.003Z,"12km ESE of Alum Rock, CA",earthquake,0.23,0.35,0.203,17,reviewed,nc,nc
2018-10-31T15:52:18.360Z,37.3353333,-121.702,7.76,1.2,md,20,67,0.04778,0.04,nc,nc73104296,2018-10-31T21:10:03.753Z,"12km ESE of Alum Rock, CA",earthquake,0.22,0.32,0.132,19,reviewed,nc,nc
2018-10-31T15:51:19.770Z,33.853,-117.483,-0.61,1.51,ml,20,100,0.0688,0.18,ci,ci37409578,2018-10-31T17:11:13.106Z,"4km SE of Home Gardens, CA",quarry blast,0.53,31.61,0.166,30,reviewed,ci,ci
