time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-12T07:27:51.320Z,-5.2085,102.4064,46.67,5.1,mb,,67,1.004,1.24,us,us2000hdbf,2018-09-12T07:49:44.040Z,"151km W of Kuripan, Indonesia",earthquake,6.4,5.8,0.067,73,reviewed,us,us
2018-09-12T06:29:53.280Z,12.1713,-86.8169,110.6,5.3,mb,,90,0.569,1.2,us,us2000hdas,2018-09-12T18:37:47.835Z,"24km SW of La Paz Centro, Nicaragua",earthquake,7.7,6.7,0.029,403,reviewed,us,us
2018-09-12T06:21:49.140Z,36.1306,31.1106,58.82,5.2,mb,,51,1.148,1.25,us,us2000hdam,2018-09-12T19:43:37.724Z,"66km SE of Tekirova, Turkey",earthquake,6,6.9,0.074,60,reviewed,us,us
2018-09-12T05:54:45.810Z,19.4413,-68.03,83,3.25,md,10,337,0.9917,0.52,pr,pr2018255010,2018-09-12T08:51:39.768Z,"102km NNE of Punta Cana, Dominican Republic",earthquake,5.82,17.11,0.28,10,reviewed,pr,pr
2018-09-12T05:50:00.340Z,54.7278,142.8794,10,4.7,mb,,146,6.481,0.87,us,us2000hda3,2018-09-12T06:09:05.040Z,"128km N of Okha, Russia",earthquake,12.5,1.9,0.068,66,reviewed,us,us
2018-09-12T05:48:38.300Z,19.4936,-68.3568,29,3.05,md,5,307,0.98,0.44,pr,pr2018255009,2018-09-12T08:51:30.312Z,"91km NE of Miches, Dominican Republic",earthquake,4.35,35.58,0.12,4,reviewed,pr,pr
2018-09-12T05:34:26.620Z,38.7653333,-112.7343333,-0.02,3.82,ml,34,47,0.2645,0.26,uu,uu60296322,2018-09-12T15:12:37.070Z,"43km WSW of Fillmore, Utah",earthquake,0.44,2.34,0.179,29,reviewed,uu,uu
2018-09-12T05:02:44.954Z,62.1869,-151.0793,67.1,2.8,ml,,,,0.42,ak,ak20251881,2018-09-12T20:53:57.790Z,"52km WSW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-09-12T04:50:46.670Z,26.374,90.1647,10,5.3,mww,,22,1.721,0.84,us,us2000hd8v,2018-09-12T15:26:05.398Z,"7km NE of Sapatgram, India",earthquake,5.9,1.7,0.078,16,reviewed,us,us
2018-09-12T04:35:06.430Z,31.898,-94.4086,5,2.5,ml,,106,0.255,0.57,us,us2000hd8u,2018-09-12T16:26:34.599Z,"1km WSW of Timpson, Texas",earthquake,2.7,2,0.181,4,reviewed,us,us
2018-09-12T04:18:03.560Z,18.8375,-64.8495,19,3.78,md,26,201,1.2175,0.38,pr,pr2018255001,2018-09-12T20:28:34.800Z,"48km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.11,3.4,0.36,25,reviewed,pr,pr
2018-09-12T04:09:50.490Z,19.3271675,-155.1918335,2.13,2.47,ml,51,91,0.05147,0.22,hv,hv70589362,2018-09-12T04:15:39.610Z,"12km SSE of Volcano, Hawaii",earthquake,0.35,0.64,2.37,29,automatic,hv,hv
2018-09-12T03:30:22.340Z,17.4115,-65.555,22,2.89,md,8,313,0.7657,0.28,pr,pr2018255005,2018-09-12T09:22:24.184Z,"73km SSE of Emajagua, Puerto Rico",earthquake,2,21.37,0.35,5,reviewed,pr,pr
2018-09-12T02:35:28.850Z,14.9348,-93.9511,35,4.8,mb,,170,2.202,1.04,us,us2000hd7p,2018-09-12T13:44:41.786Z,"112km SSW of Tres Picos, Mexico",earthquake,8.6,2,0.029,360,reviewed,us,us
2018-09-12T02:10:56.130Z,18.1516,-67.2391,18,2.66,md,19,177,0.1148,0.22,pr,pr2018255000,2018-09-12T10:13:29.913Z,"10km NNW of Puerto Real, Puerto Rico",earthquake,0.67,0.48,0.38,18,reviewed,pr,pr
2018-09-12T01:40:43.900Z,19.5363,-67.9613,40,2.83,md,8,337,1.1053,0.42,pr,pr2018255006,2018-09-12T08:37:44.352Z,"115km NNE of Punta Cana, Dominican Republic",earthquake,4.09,33.23,0.43,8,reviewed,pr,pr
2018-09-12T01:15:47.430Z,19.1043,-68.104,53,3.14,md,5,277,0.6523,0.22,pr,pr2018255004,2018-09-12T08:36:53.480Z,"65km NNE of Punta Cana, Dominican Republic",earthquake,3.99,8.4,0.04,5,reviewed,pr,pr
2018-09-12T00:40:47.105Z,69.3214,-144.1591,3.1,2.6,ml,,,,0.69,ak,ak20251803,2018-09-12T01:01:08.590Z,"92km SSW of Kaktovik, Alaska",earthquake,,3.1,,,automatic,ak,ak
2018-09-12T00:28:12.420Z,45.6902,149.9444,112.42,5,mb,,133,5.135,1.06,us,us2000hd70,2018-09-12T00:46:56.040Z,"169km ENE of Kuril'sk, Russia",earthquake,9.7,7.4,0.024,574,reviewed,us,us
2018-09-12T00:21:39.470Z,19.486,-68.1633,31,3.24,md,12,288,0.9962,0.75,pr,pr2018255003,2018-09-12T08:36:19.752Z,"103km NNE of Punta Cana, Dominican Republic",earthquake,5.97,48.08,0.26,10,reviewed,pr,pr
2018-09-12T00:08:33.198Z,68.917,-147.7709,1.6,2.5,ml,,,,0.66,ak,ak20251761,2018-09-12T00:16:17.362Z,"126km NW of Arctic Village, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-11T23:45:08.480Z,36.3441,76.3652,73.21,4.5,mb,,80,3.698,0.89,us,us2000hd6d,2018-09-12T00:08:53.040Z,"132km N of Khapalu, Pakistan",earthquake,7.4,7.4,0.072,56,reviewed,us,us
2018-09-11T23:43:39.750Z,19.348,-154.9663333,1.81,2.77,ml,43,209,0.09245,0.11,hv,hv70588987,2018-09-12T01:09:31.020Z,"14km SSW of Leilani Estates, Hawaii",earthquake,0.7,0.64,0.131,44,reviewed,hv,hv
2018-09-11T23:24:02.950Z,51.8956,-169.4974,26.92,2.5,ml,,304,0.903,0.56,us,us2000hd6i,2018-09-12T00:17:17.040Z,"115km SE of Yunaska Island, Alaska",earthquake,10,18.7,,,reviewed,us,ak
2018-09-11T23:11:50.700Z,19.5401,-68.0988,39,2.82,md,9,291,1.0644,0.5,pr,pr2018254014,2018-09-12T08:33:21.608Z,"110km NNE of Punta Cana, Dominican Republic",earthquake,4.36,30.38,0.5,8,reviewed,pr,pr
2018-09-11T23:09:59.360Z,31.5213333,-115.5978333,10.84,2.71,ml,10,105,0.2052,0.07,ci,ci38057191,2018-09-12T15:27:59.925Z,"88km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.46,1.01,0.135,39,reviewed,ci,ci
2018-09-11T22:28:10.133Z,55.8697,-153.2934,10,2.8,ml,,,,0.81,ak,ak20251718,2018-09-11T22:42:48.040Z,"145km E of Chirikof Island, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-11T22:23:36.387Z,55.9518,-153.2924,13.9,3.1,ml,,,,0.72,ak,ak20251714,2018-09-11T22:37:15.040Z,"146km E of Chirikof Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-11T22:16:04.980Z,18.9,-67.6093,4,2.68,md,13,229,0.5317,0.53,pr,pr2018254013,2018-09-12T00:10:27.528Z,"70km NW of San Antonio, Puerto Rico",earthquake,1.9,1.99,0.33,9,reviewed,pr,pr
2018-09-11T19:59:11.684Z,69.5765,-144.2759,0,2.9,ml,,,,0.85,ak,ak20251671,2018-09-11T20:04:10.702Z,"66km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-11T18:54:07.010Z,19.7613,-155.5788,32.29,3.6,ml,,77,0.043,0.36,us,us2000hczi,2018-09-12T17:07:02.222Z,"29km SE of Waikoloa, Hawaii",earthquake,2.8,11.3,0.056,42,reviewed,us,us
2018-09-11T18:25:34.610Z,19.373,-68.2803,33,3.1,md,10,297,0.865,0.25,pr,pr2018254011,2018-09-11T19:06:38.768Z,"88km N of Punta Cana, Dominican Republic",earthquake,2.69,15.81,0.35,10,reviewed,pr,pr
2018-09-11T18:12:32.467Z,69.2019,-146.6735,0,3.3,ml,,,,1.06,ak,ak20251647,2018-09-11T18:19:14.244Z,"128km NNW of Arctic Village, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-11T17:30:14.153Z,63.0252,-150.9373,120,2.8,ml,,,,0.48,ak,ak20251622,2018-09-11T17:40:33.515Z,"88km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-11T16:11:29.070Z,36.2113,-97.5769,3.79,3.3,mb_lg,,48,0.28,0.09,us,us2000hcrq,2018-09-12T04:42:30.928Z,"27km WSW of Perry, Oklahoma",earthquake,1.2,6.4,0.053,93,reviewed,us,us
2018-09-11T16:10:58.030Z,36.215,-97.5673,4.06,2.7,mb_lg,,23,0.272,0.13,us,us2000hcrm,2018-09-11T17:21:19.040Z,"26km WSW of Perry, Oklahoma",earthquake,1.2,5.2,0.069,54,reviewed,us,us
2018-09-11T15:14:08.950Z,-54.2076,-146.7044,10,5.3,mb,,47,28.777,0.86,us,us2000hcpc,2018-09-12T17:14:06.040Z,"Pacific-Antarctic Ridge",earthquake,12.8,1.7,0.065,80,reviewed,us,us
2018-09-11T15:09:27.250Z,-54.2298,-146.6441,10,5.2,mb,,45,28.767,0.77,us,us2000hcpd,2018-09-12T17:14:48.040Z,"Pacific-Antarctic Ridge",earthquake,12.9,1.8,0.069,70,reviewed,us,us
2018-09-11T15:08:50.230Z,30.4144,130.9689,45.67,4.8,mb,,129,2.703,0.61,us,us2000hcnz,2018-09-11T15:54:40.040Z,"35km S of Nishinoomote, Japan",earthquake,8.4,8.1,0.064,74,reviewed,us,us
2018-09-11T14:18:17.900Z,30.3939,131.0084,45.28,4.6,mb,,132,2.725,0.82,us,us2000hcmp,2018-09-11T15:12:15.040Z,"37km S of Nishinoomote, Japan",earthquake,8.3,8.4,0.103,28,reviewed,us,us
2018-09-11T13:30:53.520Z,44.8608333,-110.4288333,10.65,2.85,ml,30,81,0.1196,0.21,uu,uu60296242,2018-09-11T14:41:06.040Z,"55km NE of Old Faithful Geyser, Wyoming",earthquake,0.47,0.65,0.411,7,reviewed,uu,uu
2018-09-11T13:25:58.220Z,41.2514,142.4074,43.99,4.9,mww,,124,0.947,0.72,us,us2000hclq,2018-09-11T14:41:08.636Z,"99km E of Mutsu, Japan",earthquake,6.4,5.4,0.073,18,reviewed,us,us
2018-09-11T13:22:45.205Z,56.9186,-149.4243,31.4,3,ml,,,,0.56,ak,ak20251573,2018-09-11T17:01:27.475Z,"204km ESE of Kodiak, Alaska",earthquake,,5.4,,,automatic,ak,ak
2018-09-11T13:20:52.460Z,39.6413,132.143,509.79,4.5,mb,,80,3.973,0.84,us,us2000hcln,2018-09-11T14:28:10.040Z,"280km ESE of Kilju, North Korea",earthquake,11,5.2,0.045,144,reviewed,us,us
2018-09-11T13:02:16.953Z,69.4693,-144.1762,0,2.7,ml,,,,0.78,ak,ak20251549,2018-09-11T17:01:26.935Z,"76km SSW of Kaktovik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-11T12:38:06.815Z,69.7086,-145.0185,3.5,2.8,ml,,,,1.06,ak,ak20251513,2018-09-11T17:01:26.162Z,"71km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-11T11:35:28.852Z,68.7991,-148.2843,0,3,ml,,,,0.63,ak,ak20251425,2018-09-11T17:01:24.787Z,"135km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-11T10:07:33.850Z,42.7769,142.0744,35,4.4,mb,,80,1.105,0.83,us,us2000hcj9,2018-09-11T18:10:12.533Z,"34km E of Chitose, Japan",earthquake,6,2,0.057,90,reviewed,us,us
2018-09-11T09:30:19.358Z,61.7538,-147.8756,145.2,2.8,ml,,,,1.05,ak,ak20251305,2018-09-11T17:01:22.129Z,"51km E of Sutton-Alpine, Alaska",earthquake,,1.9,,,automatic,ak,ak
2018-09-11T09:25:49.060Z,-17.7948,179.9525,624.03,4.5,mb,,119,1.81,1.03,us,us2000hciw,2018-09-11T09:47:29.040Z,"164km ENE of Suva, Fiji",earthquake,12.5,7.7,0.031,304,reviewed,us,us
2018-09-11T09:01:49.820Z,18.2121,-67.9646,98,2.83,md,20,194,0.5146,0.33,pr,pr2018254005,2018-09-11T09:57:08.281Z,"61km SE of Punta Cana, Dominican Republic",earthquake,2.78,1.43,0.36,20,reviewed,pr,pr
2018-09-11T08:18:12.040Z,-18.2643,-178.0349,550.44,4.2,mb,,138,3.758,0.57,us,us2000hcig,2018-09-11T09:13:50.040Z,"273km NNE of Ndoi Island, Fiji",earthquake,19.1,9.2,0.077,47,reviewed,us,us
2018-09-11T07:22:04.524Z,60.5792,-149.346,7.6,2.6,ml,,,,0.92,ak,ak20251197,2018-09-11T17:51:45.855Z,"42km WSW of Whittier, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-09-11T06:42:56.820Z,-0.7959,121.9571,27.72,4.7,mb,,72,0.85,0.69,us,us2000hcga,2018-09-11T07:00:44.040Z,"94km W of Luwuk, Indonesia",earthquake,6.4,2.6,0.13,18,reviewed,us,us
2018-09-11T06:42:40.560Z,18.652,-67.7326,151,3.27,md,4,340,0.8032,0.07,pr,pr2018254004,2018-09-11T09:19:21.730Z,"61km NW of Rincon, Puerto Rico",earthquake,5.56,1.94,0,3,reviewed,pr,pr
2018-09-11T06:08:33.760Z,1.2427,-77.3911,10,3.2,ml,,161,0.655,0.31,us,us2000hd3f,2018-09-11T21:12:15.868Z,"6km SSW of Narino, Colombia",earthquake,5.5,2,0.128,8,reviewed,us,us
2018-09-11T05:53:32.404Z,56.8307,-151.0323,57,2.6,ml,,,,0.82,ak,ak20251157,2018-09-11T10:07:36.483Z,"135km SE of Kodiak, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-09-11T05:29:58.326Z,69.3031,-143.325,29.1,2.9,ml,,,,1.01,ak,ak20251121,2018-09-11T17:01:17.709Z,"93km S of Kaktovik, Alaska",earthquake,,3.4,,,automatic,ak,ak
2018-09-11T05:25:22.069Z,69.5587,-144.238,0,2.8,ml,,,,0.88,ak,ak20251106,2018-09-11T07:54:48.517Z,"68km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-11T05:01:13.441Z,69.2285,-143.378,1,2.5,ml,,,,0.77,ak,ak20251072,2018-09-11T17:01:16.660Z,"101km S of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-11T04:50:07.940Z,19.4496,-67.7613,97,3.34,md,11,334,1.1225,0.37,pr,pr2018254003,2018-09-11T09:19:13.257Z,"117km NE of Punta Cana, Dominican Republic",earthquake,5.6,9.91,0.13,8,reviewed,pr,pr
2018-09-11T04:43:26.130Z,23.8374,121.5447,4.29,4.7,mb,,138,0.338,0.52,us,us2000hcel,2018-09-11T05:07:59.040Z,"16km SSW of Hualian, Taiwan",earthquake,1.8,5.2,0.066,70,reviewed,us,us
2018-09-11T04:40:29.150Z,-5.6197,152.0809,64.25,4.6,mb,,189,1.421,0.79,us,us2000hcei,2018-09-11T04:59:30.040Z,"141km S of Kokopo, Papua New Guinea",earthquake,11.6,9.6,0.095,33,reviewed,us,us
2018-09-11T01:56:09.410Z,69.5538,-144.7722,0.1,2.8,ml,,,,0.82,ak,ak20250996,2018-09-11T17:01:14.598Z,"78km SW of Kaktovik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-09-11T01:30:32.450Z,18.5371,-66.3198,38,2.54,md,10,237,0.2181,0.47,pr,pr2018254000,2018-09-11T05:13:01.217Z,"8km NNE of Brenas, Puerto Rico",earthquake,2.35,2.85,0.13,6,reviewed,pr,pr
2018-09-11T01:29:15.022Z,69.2867,-146.6656,0,2.9,ml,,,,0.85,ak,ak20250969,2018-09-11T03:42:51.944Z,"125km SSE of Prudhoe Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-11T01:16:56.558Z,69.5567,-144.8551,77.7,2.7,ml,,,,1,ak,ak20250951,2018-09-11T17:01:13.810Z,"79km SW of Kaktovik, Alaska",earthquake,,1.7,,,automatic,ak,ak
2018-09-11T01:11:04.630Z,18.1503,-68.1343,126,3.42,md,5,229,0.4396,0.37,pr,pr2018254001,2018-09-11T09:18:50.689Z,"55km SSE of Punta Cana, Dominican Republic",earthquake,6.69,2.86,0.01,3,reviewed,pr,pr
2018-09-11T00:56:31.171Z,59.8216,-148.8908,111.1,2.7,ml,,,,0.73,ak,ak20250932,2018-09-11T17:01:12.780Z,"44km SE of Seward, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-09-10T23:37:10.624Z,69.5864,-144.5924,12.4,4.2,ml,,,,0.82,ak,ak20250603,2018-09-11T17:01:11.451Z,"70km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-10T23:14:11.750Z,69.2896,-146.4677,10,3.3,ml,,108,0.046,0.69,us,us2000hc7c,2018-09-10T23:36:18.040Z,"129km SE of Prudhoe Bay, Alaska",earthquake,5.6,1.9,0.036,100,reviewed,us,us
2018-09-10T23:02:56.510Z,37.2312,30.6402,108.12,4.9,mb,,36,0.619,0.9,us,us2000hc6y,2018-09-11T20:27:30.537Z,"25km S of Bucak, Turkey",earthquake,6.1,4.7,0.029,372,reviewed,us,us
2018-09-10T21:55:19.610Z,-12.8418,122.6384,10,4.5,mb,,73,3.458,0.86,us,us2000hc5a,2018-09-10T22:20:01.040Z,"South of Timor",earthquake,7.6,1.9,0.171,10,reviewed,us,us
2018-09-10T21:28:10.510Z,2.0283,96.615,26.08,4.4,mb,,154,1.199,0.84,us,us2000hc4v,2018-09-10T21:46:10.040Z,"56km SSE of Sinabang, Indonesia",earthquake,5.6,6.5,0.091,35,reviewed,us,us
2018-09-10T20:41:24.100Z,-22.0765,169.8306,10,4.8,mb,,99,2.27,1.61,us,us2000hc3t,2018-09-10T22:21:17.040Z,"209km ESE of Tadine, New Caledonia",earthquake,10,1.9,0.105,28,reviewed,us,us
2018-09-10T20:24:40.980Z,-17.9075,-178.0009,576.31,5.1,mb,,31,3.762,0.99,us,us2000hc33,2018-09-10T21:25:16.040Z,"Fiji region",earthquake,5.8,5,0.027,458,reviewed,us,us
2018-09-10T20:22:24.130Z,-8.1815,116.5047,10,5.1,mww,,49,2.345,0.91,us,us2000hc2z,2018-09-11T11:12:02.536Z,"10km NNW of Obelobel, Indonesia",earthquake,7.3,1.8,0.078,16,reviewed,us,us
2018-09-10T19:58:45.720Z,42.6846,141.977,35,4.6,mb,,72,1.101,0.79,us,us2000hc2j,2018-09-11T14:04:00.040Z,"30km ESE of Chitose, Japan",earthquake,6.6,2,0.048,131,reviewed,us,us
2018-09-10T19:31:37.540Z,-22.0268,170.1287,12,6.3,mww,,29,2.551,1.25,us,us2000hc1x,2018-09-10T21:36:15.482Z,"202km WNW of Ile Hunter, New Caledonia",earthquake,10.1,1.8,0.036,74,reviewed,us,us
2018-09-10T19:27:30.000Z,37.8122,141.1211,65.41,4.3,mb,,147,0.268,1.14,us,us2000hc24,2018-09-11T01:09:04.342Z,"33km ESE of Marumori, Japan",earthquake,7.7,5.3,0.084,40,reviewed,us,us
2018-09-10T18:08:07.938Z,59.7402,-137.6539,6.6,2.7,ml,,,,0.7,ak,ak20250443,2018-09-11T17:01:05.384Z,"113km S of Haines Junction, Canada",earthquake,,3.9,,,automatic,ak,ak
2018-09-10T17:15:48.750Z,16.0515,-98.2424,7.65,4.9,mww,,99,1.534,0.95,us,us2000hbzi,2018-09-11T03:26:05.622Z,"37km SW of Santiago Pinotepa Nacional, Mexico",earthquake,8.3,3.1,0.069,20,reviewed,us,us
2018-09-10T17:07:05.619Z,69.6281,-144.0746,11,2.9,ml,,,,0.61,ak,ak20250355,2018-09-11T17:01:03.046Z,"58km SSW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-10T17:04:00.910Z,69.2362,-146.6582,0,3.1,ml,,,,0.65,ak,ak20250347,2018-09-11T17:01:02.788Z,"130km SSE of Prudhoe Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-10T16:57:40.470Z,23.1567,94.6719,101.03,4.5,mb,,70,1.113,0.76,us,us2000hbyy,2018-09-12T05:27:51.841Z,"58km SSE of Mawlaik, Burma",earthquake,6.8,7.2,0.097,31,reviewed,us,us
2018-09-10T16:43:01.240Z,18.995,-68.9625,109,3.03,md,12,313,0.7544,0.38,pr,pr2018253005,2018-09-10T17:24:44.040Z,"9km SSE of Miches, Dominican Republic",earthquake,6.93,2.74,0.64,10,reviewed,pr,pr
2018-09-10T15:46:48.210Z,-24.3873,-67.2168,180.39,4.4,mb,,90,1.679,0.37,us,us2000hbxe,2018-09-10T16:23:29.040Z,"93km WSW of San Antonio de los Cobres, Argentina",earthquake,5.5,10.6,0.24,5,reviewed,us,us
2018-09-10T15:07:10.570Z,36.9101,27.7181,10,4.8,mb,,56,1.432,0.64,us,us2000hbx6,2018-09-11T07:14:07.870Z,"19km N of Datca, Turkey",earthquake,4.3,1.6,0.045,160,reviewed,us,us
2018-09-10T14:58:40.290Z,35.0288,140.1974,36.28,4.6,mb,,139,1.693,0.61,us,us2000hbx4,2018-09-11T08:35:06.855Z,"11km SE of Kawaguchi, Japan",earthquake,7.1,7.5,0.063,74,reviewed,us,us
2018-09-10T14:38:11.813Z,69.188,-146.5254,4.9,2.5,ml,,,,0.78,ak,ak20250212,2018-09-11T17:00:58.600Z,"124km NNW of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
